"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGL156W",120.560486742638,-1.77771142896114,0.447125012672718,-3.97587112904904,7.01220930205121e-05,0.00850230377873709
"YDR060W",85.8495647550806,1.95050552421853,0.495366806194137,3.93749742580474,8.23358149281121e-05,0.00973972444881327
"YBL039C",80.1142528413672,1.95708986070444,0.500721633071148,3.90853865989519,9.28560898877632e-05,0.0101299489872343
"YFR053C",3770.61513482089,-1.51563149582809,0.388065556906232,-3.90560684620179,9.39892174073286e-05,0.0101299489872343
"YGR245C",84.5707367117593,1.82767429860395,0.46671236012578,3.91606148616116,9.00073019175733e-05,0.0101299489872343
"YKL156W",127.306318445476,1.66621350113343,0.425666733804115,3.91436156225494,9.06437251361015e-05,0.0101299489872343
"YER175C",73.7468526077768,-2.80311531725619,0.718723936282094,-3.90012795699626,9.61418620034935e-05,0.0101366963199336
"YGL135W",1091.11369736384,1.67230452928383,0.429445561311706,3.89410132491743,9.8563447432384e-05,0.0101418913542974
"YGR256W",55.8137361203929,-2.09813172096185,0.539408802585181,-3.88968758186055,0.000100373357733252,0.0101418913542974
"YDR101C",46.5828088193724,2.14732124309396,0.557101034139863,3.85445567590682,0.000115987393457979,0.0102279792412945
"YKL103C",298.909563972363,-1.56053428932051,0.40401968299068,-3.86252045387726,0.000112223165922594,0.0102279792412945
"YLR186W",48.8459886875887,2.04421880113296,0.526998575842403,3.87898353969039,0.000104893851600042,0.0102279792412945
"YMR062C",141.124952014063,-2.84943541083998,0.734969262359284,-3.87694500541855,0.000105776254930219,0.0102279792412945
"YPL171C",32.873770314893,-2.5587943196874,0.660782964933695,-3.87236726047282,0.000107783378413969,0.0102279792412945
"YPL043W",52.1644146511905,2.06134264364932,0.534717793896034,3.85501037590328,0.000115724720914605,0.0102279792412945
"YPR184W",741.2745498727,-1.56635737107224,0.405709857447922,-3.86078213855897,0.000113024647531948,0.0102279792412945
"YIL136W",595.879984290202,-1.49280629377751,0.391763699980572,-3.81047629949263,0.000138699309427131,0.0120123509057426
"YOR310C",187.91772456976,1.60333278177593,0.422602813841394,3.79394724611954,0.000148271188807023,0.0126160572932291
"YLR061W",595.642655704067,1.85490347539028,0.490922851802506,3.77840116543708,0.000157838471341638,0.0131985618277059
"YDL021W",39.9484640225254,-2.18788609658501,0.579825703077814,-3.77335134501857,0.000161069207251141,0.0132404348333565
"YDR258C",813.011376204792,-1.38515576590922,0.371488323004992,-3.72866569453546,0.000192496320034583,0.0139396525335824
"YDR502C",336.542066326221,-1.88293360068553,0.504378565572674,-3.73317529571788,0.000189080902592229,0.0139396525335824
"YIR038C",67.1465428900144,-1.82379466515466,0.48725887756282,-3.74296857201852,0.000181858981940815,0.0139396525335824
"YJR096W",152.442985155227,-1.64346594970267,0.437681400981984,-3.75493668685803,0.00017338530146929,0.0139396525335824
"YLR264W",119.653164603518,1.65036352399396,0.440339328665034,3.74793577715924,0.000178295890108959,0.0139396525335824
"YLR448W",407.029318089491,1.72201040144202,0.461841881007217,3.72857134066434,0.000192568395824747,0.0139396525335824
"YMR290C",104.989845462653,1.73853349665929,0.465294916024341,3.73641197611611,0.000186664750903513,0.0139396525335824
"YOR206W",80.1704411802219,1.8235969194347,0.487526286516677,3.74050993734943,0.000183647284822073,0.0139396525335824
"YGL076C",974.335660420689,1.6958776753693,0.455482429364604,3.72325597221179,0.000196669946585707,0.0140271947197159
"YML056C",88.7190341199725,1.78089396071697,0.478818063054467,3.71935417255632,0.000199732822305227,0.0140391911330486
"YJL190C",506.63529432243,1.78573524391655,0.482159613072265,3.70361846057169,0.000212545859246025,0.0140597269572687
"YMR206W",44.2674384927498,-2.11182389197448,0.570566730562114,-3.70127415226953,0.000214519545327399,0.0140597269572687
"YNL112W",60.8952459225688,2.25566119176675,0.607706197968844,3.7117626894475,0.000205820912426324,0.0140597269572687
"YOL155C",871.796861004306,-2.20458262078026,0.594778068072574,-3.70656340427008,0.000210090657793064,0.0140597269572687
"YOR063W",4005.8047663598,1.46666279620638,0.395771610873801,3.70583123172533,0.000210698570400524,0.0140597269572687
"YFL014W",864.334309151557,-1.72289128687993,0.467699382607213,-3.68375788155972,0.00022982054827572,0.0148617287884966
"YDR012W",1903.34833109991,1.55452793838965,0.422613266957387,3.67836994229145,0.000234729332660801,0.01497943767638
"YCR031C",1150.16467199835,1.61998988120842,0.441056484251787,3.67297599978965,0.000239742007950388,0.0150332882950898
"YDL222C",57.1627340506544,-2.17399009065573,0.596133502689299,-3.64681750119453,0.000265508355949745,0.0150332882950898
"YGL123W",2126.93461278105,1.70451689627905,0.465934077853648,3.65827909418218,0.000253914461158646,0.0150332882950898
"YGL120C",64.4016392709067,1.96524032135657,0.535912921354166,3.66708889270802,0.000245327528168986,0.0150332882950898
"YGR043C",48.3049837099539,-1.95430640257472,0.535216908560075,-3.65142874098,0.000260785461622964,0.0150332882950898
"YGR090W",79.0542090978127,1.76042903273511,0.482866023985932,3.64579188695703,0.000266569648119119,0.0150332882950898
"YHR010W",846.026953300074,1.64865089012742,0.452155453481488,3.64620370590071,0.000266143026346148,0.0150332882950898
"YHR029C",71.7505039004599,-2.48416508820508,0.676905885961156,-3.66988253422815,0.000242661952056367,0.0150332882950898
"YNL200C",95.1954479981795,-1.62609942785839,0.445141926298469,-3.65299094915649,0.000259203371045159,0.0150332882950898
